growth_rate,cost,growth_cost,n_batch,n_start,n_candidates
0.0,432.1124906175225,0.0,100,50,15
0.0,133.59405622572,0.0,100,50,15
0.0,281.0260307367309,0.0,100,50,15
0.0,243.58740881897228,0.0,100,50,15
0.0,106.06059637699447,0.0,100,50,15
0.0,367.2464161596007,0.0,100,50,15
0.0,232.962867383626,0.0,100,50,15
0.545181442809896,463.86046403268244,0.0011753134510974056,100,50,15
0.0,251.68908287977797,0.0,100,50,15
0.0,604.516075697343,0.0,100,50,15
2.886407150053765e-14,212.78106034956815,1.3565150701438464e-16,100,50,15
1.2845966653033942e-14,284.48577223330534,4.5155040802880753e-17,100,50,15
0.2492966769143465,629.0386755324942,0.000396313750825117,100,50,15
0.0,149.8650964874598,0.0,100,50,15
2.383210581873317e-31,524.3345628870964,4.5452097774193226e-34,100,50,15
