growth_rate,cost,is_pareto,n_batch,n_start,n_candidates
0.09275309,94.97479,False,30,30,10
0.7882216,162.82323,False,30,30,10
0.69626653,148.35025,False,30,30,10
0.73684406,155.53246,False,30,30,10
0.78077495,162.55304,False,30,30,10
0.82733345,177.87148,False,30,30,10
0.6296237,137.13756,False,30,30,10
0.7288833,151.72942,False,30,30,10
0.12417435,114.88004,False,30,30,10
0.05041986,39.428844,False,30,30,10
0.3386174,89.587616,False,30,30,10
0.6202137,139.27763,False,30,30,10
0.64351463,155.9925,False,30,30,10
0.83261365,185.20479,False,30,30,10
0.63348246,141.27191,False,30,30,10
0.7945475,170.84947,False,30,30,10
0.83261365,190.94604,False,30,30,10
0.6402011,143.79213,False,30,30,10
0.7667678,165.3055,False,30,30,10
0.6828662,145.9137,False,30,30,10
0.54399323,120.517395,False,30,30,10
0.66457224,142.11574,False,30,30,10
0.7009708,146.7129,False,30,30,10
0.5649757,128.444,False,30,30,10
0.8177778,177.64816,False,30,30,10
0.51653177,114.10967,False,30,30,10
0.4930823,113.74311,False,30,30,10
1.9079138e-15,7.76,True,30,30,10
0.055237636,31.595598,False,30,30,10
0.7769421,160.49107,False,30,30,10
0.8137637,175.71803,False,30,30,10
0.65100044,136.83691,False,30,30,10
0.7665878,177.19559,False,30,30,10
0.8325828,184.92564,False,30,30,10
0.32394484,84.867714,False,30,30,10
0.6543671,143.94934,False,30,30,10
0.800899,169.4185,False,30,30,10
0.59117675,126.45735,False,30,30,10
0.808997,173.40163,False,30,30,10
0.6777039,141.7531,False,30,30,10
0.8098711,172.39311,False,30,30,10
0.20553063,60.946674,False,30,30,10
0.67249084,140.05176,False,30,30,10
0.56277794,118.86456,False,30,30,10
0.6825066,142.19359,False,30,30,10
0.5958131,126.07806,False,30,30,10
0.7849101,162.32549,False,30,30,10
0.32584575,83.8025,False,30,30,10
0.83261365,454.24954,False,30,30,10
2.420248e-16,7.76,False,30,30,10
0.83261365,186.47069,False,30,30,10
0.69545156,141.81592,False,30,30,10
0.83261365,285.444,False,30,30,10
0.70906496,144.96573,False,30,30,10
0.8161891,173.61314,False,30,30,10
0.68830985,140.75308,False,30,30,10
0.83261365,195.15486,False,30,30,10
0.81104195,169.12915,False,30,30,10
0.49618173,106.48139,True,30,30,10
0.8091893,163.96349,False,30,30,10
0.73946893,148.9341,False,30,30,10
0.8319953,171.89012,False,30,30,10
0.81266433,165.93951,False,30,30,10
0.6697823,134.84015,True,30,30,10
0.7399906,167.83183,False,30,30,10
0.7208698,145.03621,True,30,30,10
0.83261365,326.89984,False,30,30,10
0.8324001,171.78976,False,30,30,10
0.7644157,153.21873,False,30,30,10
0.37567827,102.15244,False,30,30,10
0.37831697,99.93655,False,30,30,10
0.7269477,145.96146,True,30,30,10
0.75842166,152.70526,False,30,30,10
0.5748391,136.08957,False,30,30,10
0.7430637,155.16806,False,30,30,10
0.83261365,170.8901,False,30,30,10
0.47881404,104.893524,True,30,30,10
0.8025968,161.04094,False,30,30,10
0.048384972,44.402092,False,30,30,10
0.6744473,134.97536,True,30,30,10
0.5688788,118.871994,False,30,30,10
0.77216977,153.62355,False,30,30,10
0.78969884,155.94409,True,30,30,10
0.7170503,141.53493,True,30,30,10
4.8950524e-17,7.76,False,30,30,10
0.7085114,141.05614,True,30,30,10
0.26884112,65.358086,True,30,30,10
0.36263776,80.50922,True,30,30,10
0.19451009,58.204067,False,30,30,10
0.68516695,136.85014,True,30,30,10
0.77370465,152.97144,True,30,30,10
0.7239948,156.22156,False,30,30,10
0.64300865,129.77382,False,30,30,10
0.8166324,167.17413,True,30,30,10
0.79919964,235.0539,False,30,30,10
0.53291005,109.57525,False,30,30,10
0.5061547,107.19389,False,30,30,10
0.0,7.76,False,30,30,10
0.73888767,148.01929,False,30,30,10
0.5085137,106.67176,True,30,30,10
0.7937108,157.8249,False,30,30,10
0.6696791,135.72224,False,30,30,10
0.8160277,168.27666,False,30,30,10
0.83261365,176.85832,False,30,30,10
0.82225287,171.06158,False,30,30,10
0.83261365,269.29388,False,30,30,10
0.8224336,169.64267,True,30,30,10
0.66939294,132.98088,True,30,30,10
